date,scraped_at,plan,slug,unit,apartment_id,floorplan_id,beds,baths,sqft,floor,rent_min,rent_max,deposit,available_date,made_ready_date,status,amenities,specials,apply_url
2026-09-14,2026-09-15T01:21:31+00:00,Breckenridge 1,breckenridge-1,1101,28085639,3539944,3,2,1472,1,4260,9057,0,2026-09-29,2026-09-29,Notice Unrented,1st Floor; Balcony; Pool View; Maple White; Bianco,,https://bellwestford.securecafe.com/onlineleasing/bell-westford/oleapplication.aspx?stepname=RentalOptions&myOlePropertyId=1311869&FloorPlanID=3539944&UnitID=28085639&header=1
2026-09-14,2026-09-15T01:21:31+00:00,Breckenridge 1,breckenridge-1,2101,28085718,3539944,3,2,1472,1,4460,9147,0,2026-08-29,2026-08-29,Vacant Unrented Not Ready,1st Floor; Premium View; Balcony; Bianco G; Private Yard; Botticino,,https://bellwestford.securecafe.com/onlineleasing/bell-westford/oleapplication.aspx?stepname=RentalOptions&myOlePropertyId=1311869&FloorPlanID=3539944&UnitID=28085718&header=1
2026-09-14,2026-09-15T01:21:31+00:00,Breckenridge 1,breckenridge-1,3321,28085857,3539944,3,2,1472,3,4200,8861,0,2026-08-28,2026-08-28,Vacant Unrented Ready,3rd Floor; Balcony; Maple White; Angola Black,,https://bellwestford.securecafe.com/onlineleasing/bell-westford/oleapplication.aspx?stepname=RentalOptions&myOlePropertyId=1311869&FloorPlanID=3539944&UnitID=28085857&header=1
2026-09-14,2026-09-15T01:21:31+00:00,Breckenridge 2,breckenridge-2,3401,28085954,3539954,3,2,1503,,4508,9200,0,2025-08-15,2025-08-15,Vacant Unrented Ready,Pool View; Balcony; Ornamental,,https://bellwestford.securecafe.com/onlineleasing/bell-westford/oleapplication.aspx?stepname=RentalOptions&myOlePropertyId=1311869&FloorPlanID=3539954&UnitID=28085954&header=1
2026-09-14,2026-09-15T01:21:31+00:00,Townhome,townhome,0202,28085879,3539955,3,2,1921,,5120,9873,0,2026-08-11,2026-08-11,Vacant Unrented Ready,Townhouse; Shitake,,https://bellwestford.securecafe.com/onlineleasing/bell-westford/oleapplication.aspx?stepname=RentalOptions&myOlePropertyId=1311869&FloorPlanID=3539955&UnitID=28085879&header=1
2026-09-15,2026-09-15T17:38:18+00:00,Denver 2,denver-2,3302,28085934,3539945,0,1,535,,2325,4313,0,2026-08-03,2026-08-03,Vacant Unrented Ready,Balcony; Ornamental,,https://bellwestford.securecafe.com/onlineleasing/bell-westford/oleapplication.aspx?stepname=RentalOptions&myOlePropertyId=1311869&FloorPlanID=3539945&UnitID=28085934&header=1
2026-09-15,2026-09-15T17:38:18+00:00,Denver 2,denver-2,3319,28085950,3539945,0,1,535,,2475,4483,0,2026-06-11,2026-06-11,Vacant Unrented Not Ready,Pool View; Balcony; Ornamental,,https://bellwestford.securecafe.com/onlineleasing/bell-westford/oleapplication.aspx?stepname=RentalOptions&myOlePropertyId=1311869&FloorPlanID=3539945&UnitID=28085950&header=1
2026-09-15,2026-09-15T17:38:18+00:00,Denver 2,denver-2,5120,28085992,3539945,0,1,535,,2260,4239,0,2026-09-02,2026-09-02,Vacant Unrented Ready,Ornamental,,https://bellwestford.securecafe.com/onlineleasing/bell-westford/oleapplication.aspx?stepname=RentalOptions&myOlePropertyId=1311869&FloorPlanID=3539945&UnitID=28085992&header=1
2026-09-15,2026-09-15T17:38:18+00:00,Eaton 1,eaton-1,3413,28085870,3539936,1,1,687,4,2520,4415,0,2026-08-28,2026-08-28,Vacant Unrented Ready,Balcony; 4th Floor; Botticino,,https://bellwestford.securecafe.com/onlineleasing/bell-westford/oleapplication.aspx?stepname=RentalOptions&myOlePropertyId=1311869&FloorPlanID=3539936&UnitID=28085870&header=1
2026-09-15,2026-09-15T17:38:18+00:00,Evergreen 1,evergreen-1,1311,28085685,3539938,1,1,789,3,2565,4300,0,2026-10-01,2026-10-01,Notice Unrented,3rd Floor; Balcony; Pool View; Maple White,,https://bellwestford.securecafe.com/onlineleasing/bell-westford/oleapplication.aspx?stepname=RentalOptions&myOlePropertyId=1311869&FloorPlanID=3539938&UnitID=28085685&header=1
2026-09-15,2026-09-15T17:38:18+00:00,Evergreen 1,evergreen-1,2311,28085767,3539938,1,1,789,3,2515,4244,0,2026-10-26,2026-10-26,Notice Unrented,3rd Floor; Premium View; Balcony; Maple White; Bianco,,https://bellwestford.securecafe.com/onlineleasing/bell-westford/oleapplication.aspx?stepname=RentalOptions&myOlePropertyId=1311869&FloorPlanID=3539938&UnitID=28085767&header=1
2026-09-15,2026-09-15T17:38:18+00:00,Evergreen 1,evergreen-1,2411,28085787,3539938,1,1,789,4,2540,4437,0,2026-09-17,2026-09-17,Vacant Unrented Not Ready,4th Floor; Premium View; Botticino; Angola Black,,https://bellwestford.securecafe.com/onlineleasing/bell-westford/oleapplication.aspx?stepname=RentalOptions&myOlePropertyId=1311869&FloorPlanID=3539938&UnitID=28085787&header=1
2026-09-15,2026-09-15T17:38:18+00:00,Evergreen 1,evergreen-1,3310,28085847,3539938,1,1,789,3,2515,4244,0,2026-10-05,2026-10-05,Notice Unrented,3rd Floor; Premium View; Balcony; Maple White; Angola Black,,https://bellwestford.securecafe.com/onlineleasing/bell-westford/oleapplication.aspx?stepname=RentalOptions&myOlePropertyId=1311869&FloorPlanID=3539938&UnitID=28085847&header=1
2026-09-15,2026-09-15T17:38:18+00:00,Evans 2,evans-2,5111,28085984,3539949,1,1,852,,2575,4477,0,2026-07-02,2026-07-02,Vacant Unrented Ready,Ornamental,,https://bellwestford.securecafe.com/onlineleasing/bell-westford/oleapplication.aspx?stepname=RentalOptions&myOlePropertyId=1311869&FloorPlanID=3539949&UnitID=28085984&header=1
2026-09-15,2026-09-15T17:38:18+00:00,Erie 1,erie-1,1119,28085647,3539940,1,1,883,1,2699,4449,0,2026-11-02,2026-11-02,Notice Unrented,Balcony; 1st Floor; Pool View; Maple White,,https://bellwestford.securecafe.com/onlineleasing/bell-westford/oleapplication.aspx?stepname=RentalOptions&myOlePropertyId=1311869&FloorPlanID=3539940&UnitID=28085647&header=1
2026-09-15,2026-09-15T17:38:18+00:00,Erie 1,erie-1,2205,28085742,3539940,1,1,913,2,2724,4646,0,2026-08-28,2026-08-28,Vacant Unrented Ready,Balcony; 2nd Floor; Premium View; Botticino,,https://bellwestford.securecafe.com/onlineleasing/bell-westford/oleapplication.aspx?stepname=RentalOptions&myOlePropertyId=1311869&FloorPlanID=3539940&UnitID=28085742&header=1
